lpermno,gvkey,datadate,SIC4,FF12,fyear,l1_TA,l1_lnTA,l1_RD_A,l1_ROA,l1_ROE,l1_LEVERAGE,l1_DY,l1_CPNA,l1_CEOAge,l1_CEOChair,l1_CEOTenure,l1_CEOFemale,CEOPay,lnCEOPay
54594,1004,31may2019,5080,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,1415.6261,7.2553272,0,.048337378,.078714088,.11621958,.0067129112,.028049355,65,1,22,0,3032.3428,14.924846
21020,1045,31dec2018,4512,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,47719.234,10.773089,0,.037337538,.48879266,.48768386,.0076878723,.11701296,55,1,5,0,10879.796,16.202417
11499,1050,31dec2018,3564,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,407.17609,6.0092459,0,-.006906868,-.016235281,.29217488,.043859649,.074727491,,,,,,
26649,1062,30nov2018,6799,Finance,2018,227.995,5.4293237,0,.007102076,.0071416288,0,.0036190581,.015205636,,,,,,
81912,1072,31mar2019,3670,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,2481.5618,7.8166432,.0066919439,.0018370482,.0021886004,0,.027190333,.44821095,68,1,3,0,1225.3237,14.018716
27991,1075,31dec2018,4911,Utilities,2018,15801.571,9.6678648,0,.02870049,.097560667,.29185551,.031227987,.00081692706,62,1,9,0,9008.0166,16.013626
10517,1076,31dec2018,7359,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,2499.6648,7.8239121,0,.10865799,.16929127,.13698433,.0028230867,.027251547,45,0,4,0,2948.2441,14.89672
20482,1078,31dec2018,3845,"Healthcare, Medical Equipment, and Drugs",2018,70795.227,11.167547,.029311476,.0046295081,.011425057,.36621639,.018573681,.14420769,62,1,19,0,20738.082,16.847483
10656,1094,30jun2018,5160,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,963.91534,6.8710036,.0076075075,.010957585,.028084243,.34065795,.016828479,.058876507,54,0,5,0,575.34857,13.262732
60038,1104,31dec2018,3420,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,106.52245,4.6683559,.0065545193,.035317704,.081140615,.41338795,.017948719,.08860255,,,,,,
10779,1117,31dec2018,3663,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,39.739101,3.6823356,.1168197,-.084717646,-.11328772,0,.04225352,.61696261,,,,,,
10065,1119,31dec2018,6726,Finance,2018,,,,,,,.091816366,,,,,,,
61487,1121,31dec2018,5172,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,262.47992,5.5701747,0,-.0017049635,-.0032762594,.0059744469,.020229885,.63119477,,,,,,
61241,1161,31dec2018,3674,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,3286.7556,8.0976563,.32768363,.012146893,.070376433,.39406779,0,.50446236,47,0,4,1,9843.0527,16.102276
78223,1186,31dec2018,1040,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,7302.9116,8.8960285,0,.031006785,.049300071,.17508872,.0088783028,.10806413,,,,,,
28222,1209,30sep2018,2810,Chemicals and Allied Products,2018,17146.094,9.749526,.0031298734,.061427828,.11247051,.21458586,.023938632,.24866122,73,1,4,0,12640.571,16.352423
11368,1210,31mar2019,4513,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,90.197304,4.5019994,.0020175611,.023438707,.090652123,.49497151,0,.072866626,,,,,,
28804,1230,31dec2018,4512,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,9971.6826,9.2075043,0,.096275605,.27788228,.23919925,.01632431,.17776072,56,1,6,0,3966.6113,15.193422
11587,1234,31dec2018,3841,"Healthcare, Medical Equipment, and Drugs",2018,189.202,5.242815,.028457159,.17957111,.19845651,0,.0071360609,.47478577,,,,,,
11691,1254,31dec2018,4400,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,2086.7185,7.6433482,0,.1032258,.34208199,.38135704,.02613941,.008888091,56,1,6,0,4095.6843,15.225445
49330,1257,31dec2018,6798,Finance,2018,1515.6168,7.3235779,0,.049319558,.23406841,.75975609,.04294556,.31738675,,,,,,
11790,1266,30sep2018,100,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2018,389.19458,5.9640794,0,-.022546293,-.058833051,.44064152,.0070278184,.0081652384,,,,,,
71271,1274,31dec2018,6331,Finance,2018,23568.375,10.067661,0,.0035507358,.010586368,.058496628,0,.077822216,60,0,14,0,3047.8518,14.929948
10145,1300,31dec2018,9997,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,55138.574,10.917604,.030899018,.027868051,.095797636,.30110967,.017866459,.22270949,51,0,1,0,14022.688,16.456186
